Record_ID,Observation_Date,Region,District,Forest_Type,Forest_Area_ha,Tree_Cover_Loss_ha,Annual_Rainfall_mm,Population_Density,Fire_Incidents,Illegal_Logging,Deforestation_Risk
REC00001,2024-06-27,Central,Wakiso,Mangrove,4179.46,235.27,1358.1,657,16,Yes,High
REC00002,2021-04-30,Eastern,Mbale,Mangrove,2072.03,14.36,1605.3,266,25,Yes,High
REC00003,2022-01-20,Central,Mukono,Woodland,7417.11,543.23,1471.4,245,16,Yes,High
REC00004,2021-07-17,Western,Mbarara,Montane Forest,5260.01,281.86,1609.9,434,11,Yes,High
REC00005,2023-07-07,Eastern,Mbale,Dry Forest,9793.89,575.77,1353.5,647,6,No,High
REC00006,2021-03-01,Western,Kabale,Woodland,4135.47,288.34,1678.5,375,3,No,Medium
REC00007,2023-03-13,Western,Mbarara,Mangrove,6901.65,195.05,1342.0,720,1,Yes,Medium
REC00008,2021-04-03,Central,Wakiso,Dry Forest,1159.8,10.3,1237.6,299,15,Yes,High
REC00009,2023-05-16,Eastern,Mbale,Dry Forest,1524.61,119.37,2116.3,765,1,Yes,Medium
REC00010,2023-05-23,Central,Mukono,Tropical Rainforest,9435.85,541.24,1244.4,549,0,Yes,High
REC00012,2021-12-19,Eastern,Mbale,Woodland,1340.77,87.71,2265.2,468,1,No,Low
REC00013,2023-12-31,Western,Kabale,Woodland,8353.18,287.48,2184.0,401,0,Yes,Medium
REC00014,2022-02-27,Western,Kabale,Mangrove,8015.17,33.79,1526.9,190,10,No,Low
REC00015,2023-05-31,Northern,Gulu,Tropical Rainforest,4843.86,19.27,2007.3,520,11,No,Low
REC00016,2024-04-28,Western,Kabale,Montane Forest,1245.95,56.68,855.7,300,1,No,Low
REC00017,2024-03-19,Central,Wakiso,Woodland,4769.6,252.36,1900.3,598,16,Yes,High
REC00018,2021-07-15,Northern,Gulu,Woodland,6298.88,70.23,897.2,128,9,Yes,Low
REC00019,2023-05-18,Western,Mbarara,Dry Forest,9667.81,300.61,1641.2,241,2,Yes,High
REC00020,2024-04-06,Central,Wakiso,Dry Forest,9035.0,9.99,730.4,92,3,Yes,Low
REC00022,2023-10-25,Eastern,Mbale,Tropical Rainforest,1700.17,4.09,1122.9,689,10,Yes,Low
REC00023,2023-07-15,Northern,Gulu,Dry Forest,9333.34,541.51,2098.5,579,4,No,High
REC00024,2024-10-10,Western,Mbarara,Mangrove,9268.75,109.61,2002.5,853,25,No,Medium
REC00025,2022-05-04,Western,Kabale,Dry Forest,7808.61,50.34,2379.7,826,24,No,Low
