Record_ID,Observation_Date,Region,District,Forest_Type,Forest_Area_ha,Tree_Cover_Loss_ha,Annual_Rainfall_mm,Population_Density,Fire_Incidents,Illegal_Logging,Deforestation_Risk,Loss_Rate,Illegal_Logging_Flag,Population_Pressure,Fire_Logging_Impact
REC00001,2024-06-27,Central,Wakiso,Mangrove,4179.46,235.27,1358.1,657.0,16,Yes,High,0.05629196116244683,1.0,0.1571973412833237,16.0
REC00002,2021-04-30,Eastern,Mbale,Mangrove,2072.03,14.36,1605.3,266.0,25,Yes,High,0.006930401586849611,1.0,0.1283765196449858,25.0
REC00003,2022-01-20,Central,Mukono,Woodland,7417.11,543.23,1471.4,245.0,16,Yes,High,0.0732401164334896,1.0,0.033031733384026936,16.0
REC00004,2021-07-17,Western,Mbarara,Montane Forest,5260.01,281.86,1609.9,434.0,11,Yes,High,0.053585449457320425,1.0,0.08250934884154212,11.0
REC00005,2023-07-07,Eastern,Mbale,Dry Forest,9793.89,575.77,1353.5,647.0,6,No,High,0.05878869376723651,0.0,0.06606159554579437,0.0
REC00006,2021-03-01,Western,Kabale,Woodland,4135.47,288.34,1678.5,375.0,3,No,Medium,0.06972363479846304,0.0,0.09067893129438732,0.0
REC00007,2023-03-13,Western,Mbarara,Mangrove,6901.65,195.05,1342.0,720.0,1,Yes,Medium,0.02826135779125282,1.0,0.104322879311469,1.0
REC00008,2021-04-03,Central,Wakiso,Dry Forest,1159.8,10.3,1237.6,299.0,15,Yes,High,0.00888084152440076,1.0,0.25780306949474047,15.0
REC00009,2023-05-16,Eastern,Mbale,Dry Forest,1524.61,119.37,2116.3,765.0,1,Yes,Medium,0.07829543293038876,1.0,0.5017676651733887,1.0
REC00010,2023-05-23,Central,Mukono,Tropical Rainforest,9435.85,541.24,1244.4,549.0,0,Yes,High,0.057359962271549464,1.0,0.058182357710222184,0.0
REC00012,2021-12-19,Eastern,Mbale,Woodland,1340.77,87.71,2265.2,468.0,1,No,Low,0.06541763315109973,0.0,0.3490531560222857,0.0
REC00013,2023-12-31,Western,Kabale,Woodland,8353.18,287.48,2184.0,401.0,0,Yes,Medium,0.03441563572196457,1.0,0.0480056696970495,0.0
REC00014,2022-02-27,Western,Kabale,Mangrove,8015.17,33.79,1526.9,190.0,10,No,Low,0.004215755872925964,0.0,0.023705049300264375,0.0
REC00015,2023-05-31,Northern,Gulu,Tropical Rainforest,4843.86,19.27,2007.3,520.0,11,No,Low,0.003978232236274377,0.0,0.10735240077128572,0.0
REC00016,2024-04-28,Western,Kabale,Montane Forest,1245.95,56.68,855.7,300.0,1,No,Low,0.04549139211043782,0.0,0.24078012761346762,0.0
REC00017,2024-03-19,Central,Wakiso,Woodland,4769.6,252.36,1900.3,598.0,16,Yes,High,0.05291009728279101,1.0,0.12537739013753774,16.0
REC00018,2021-07-15,Northern,Gulu,Woodland,6298.88,70.23,897.2,128.0,9,Yes,Low,0.011149601198943305,1.0,0.0203210729526519,9.0
REC00019,2023-05-18,Western,Mbarara,Dry Forest,9667.81,300.61,1641.2,241.0,2,Yes,High,0.03109390854805794,1.0,0.024928086091886376,2.0
REC00020,2024-04-06,Central,Wakiso,Dry Forest,9035.0,9.99,730.4,92.0,3,Yes,Low,0.001105700055340343,1.0,0.01018262313226342,3.0
REC00022,2023-10-25,Eastern,Mbale,Tropical Rainforest,1700.17,4.09,1122.9,689.0,10,Yes,Low,0.0024056417887623,1.0,0.40525359228783003,10.0
REC00023,2023-07-15,Northern,Gulu,Dry Forest,9333.34,541.51,2098.5,579.0,4,No,High,0.058018887129366335,0.0,0.062035669974521444,0.0
REC00024,2024-10-10,Western,Mbarara,Mangrove,9268.75,109.61,2002.5,853.0,25,No,Medium,0.011825758597437626,0.0,0.0920296695886716,0.0
REC00025,2022-05-04,Western,Kabale,Dry Forest,7808.61,50.34,2379.7,826.0,24,No,Low,0.006446729955779582,0.0,0.10578067031136144,0.0
REC00026,2024-11-30,Central,Wakiso,Mangrove,2030.3,114.17,2462.6,263.0,6,No,Medium,0.0562330690045806,0.0,0.12953750677239817,0.0
REC00027,2022-01-22,Western,Mbarara,Mangrove,5094.16,221.53,1052.1,152.0,16,Yes,High,0.04348705183975376,1.0,0.029838089105956627,16.0
REC00028,2023-12-07,Western,Mbarara,Tropical Rainforest,137.35,5.88,2106.6,330.0,4,Yes,Low,0.04281033855114671,1.0,2.4026210411357845,4.0
REC00029,2022-01-25,Western,Mbarara,Woodland,8636.12,321.09,1859.6,511.0,8,No,High,0.03717989096955577,0.0,0.0591700902720203,0.0
REC00030,2023-03-12,Central,Wakiso,Montane Forest,524.21,7.9,1121.7,135.0,21,No,Low,0.015070296255317524,0.0,0.2575303790465653,0.0
REC00032,2021-10-14,Central,Mukono,Dry Forest,9556.61,427.68,2090.0,534.0,2,No,High,0.04475227094126474,0.0,0.05587755490702247,0.0
REC00033,2024-08-13,Western,Kabale,Dry Forest,3881.38,135.54,2370.2,399.0,12,No,Medium,0.03492056948817173,0.0,0.10279848919714123,0.0
REC00034,2021-09-01,Eastern,Mbale,Woodland,3362.85,101.04,1203.8,108.0,4,No,Medium,0.030045943173201306,0.0,0.03211561621838619,0.0
REC00035,2021-11-02,Central,Wakiso,Dry Forest,9155.49,330.63,1956.5,363.0,7,Yes,High,0.03611275857436358,1.0,0.039648342142255634,7.0
REC00036,2022-01-15,Northern,Gulu,Plantation,3958.16,156.65,1734.7,610.0,6,Yes,Medium,0.039576469874891364,1.0,0.15411201164177296,6.0
REC00037,2021-05-31,Eastern,Mbale,Mangrove,2101.62,156.43,871.0,653.0,21,No,Medium,0.07443305640410731,0.0,0.31071268830711546,0.0
REC00038,2021-05-11,Western,Kabale,Plantation,3181.47,65.04,1914.9,789.0,2,Yes,Low,0.02044337994700563,1.0,0.24799856670029893,2.0
REC00039,2023-05-08,Western,Kabale,Tropical Rainforest,5530.28,154.05,1729.1,137.0,3,No,Medium,0.02785573244031044,0.0,0.024772705902775267,0.0
REC00040,2023-05-16,Western,Mbarara,Dry Forest,2980.84,26.12,2120.2,689.0,16,Yes,High,0.008762630667865434,1.0,0.23114289931697105,16.0
REC00041,31-13-2024,Central,Mukono,Woodland,8566.75,370.11,1122.7,768.0,19,No,High,0.04320308168208481,0.0,0.08964893337613447,0.0
REC00042,2021-06-25,Eastern,Mbale,Montane Forest,8555.22,406.42,1248.1,735.0,9,Yes,High,0.047505499566346636,1.0,0.08591246046273504,9.0
REC00043,2023-08-02,Central,Mukono,Woodland,3487.49,171.96,1942.8,576.0,7,No,Medium,0.04930766826571546,0.0,0.1651617639046994,0.0
