Forest_Area_ha,Tree_Cover_Loss_ha,Annual_Rainfall_mm,Population_Density,Fire_Incidents,Deforestation_Risk,Illegal_Logging_Flag,Year,Month,Day,Region_Central,Region_Eastern,Region_Northern,Region_Western,District_Gulu,District_Kabale,District_Mbale,District_Mbarara,District_Mukono,District_Wakiso,Forest_Type_Dry Forest,Forest_Type_Mangrove,Forest_Type_Montane Forest,Forest_Type_Plantation,Forest_Type_Tropical Rainforest,Forest_Type_Woodland
4179.46,235.27,1358.1,657.0,16,0,1.0,2024.0,6.0,27.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2072.03,14.36,1605.3,266.0,25,0,1.0,2021.0,4.0,30.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7417.11,543.23,1471.4,245.0,16,0,1.0,2022.0,1.0,20.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5260.01,281.86,1609.9,434.0,11,0,1.0,2021.0,7.0,17.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
9793.89,575.77,1353.5,647.0,6,0,0.0,2023.0,7.0,7.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4135.47,288.34,1678.5,375.0,3,2,0.0,2021.0,3.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
6901.65,195.05,1342.0,720.0,1,2,1.0,2023.0,3.0,13.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1159.8,10.3,1237.6,299.0,15,0,1.0,2021.0,4.0,3.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1524.61,119.37,2116.3,765.0,1,2,1.0,2023.0,5.0,16.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
9435.85,541.24,1244.4,549.0,0,0,1.0,2023.0,5.0,23.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1340.77,87.71,2265.2,468.0,1,1,0.0,2021.0,12.0,19.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8353.18,287.48,2184.0,401.0,0,2,1.0,2023.0,12.0,31.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8015.17,33.79,1526.9,190.0,10,1,0.0,2022.0,2.0,27.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
4843.86,19.27,2007.3,520.0,11,1,0.0,2023.0,5.0,31.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1245.95,56.68,855.7,300.0,1,1,0.0,2024.0,4.0,28.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
4769.6,252.36,1900.3,598.0,16,0,1.0,2024.0,3.0,19.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6298.88,70.23,897.2,128.0,9,1,1.0,2021.0,7.0,15.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
9667.81,300.61,1641.2,241.0,2,0,1.0,2023.0,5.0,18.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
9035.0,9.99,730.4,92.0,3,1,1.0,2024.0,4.0,6.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1700.17,4.09,1122.9,689.0,10,1,1.0,2023.0,10.0,25.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9333.34,541.51,2098.5,579.0,4,0,0.0,2023.0,7.0,15.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
9268.75,109.61,2002.5,853.0,25,2,0.0,2024.0,10.0,10.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
7808.61,50.34,2379.7,826.0,24,1,0.0,2022.0,5.0,4.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2030.3,114.17,2462.6,263.0,6,2,0.0,2024.0,11.0,30.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5094.16,221.53,1052.1,152.0,16,0,1.0,2022.0,1.0,22.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
137.35,5.88,2106.6,330.0,4,1,1.0,2023.0,12.0,7.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
8636.12,321.09,1859.6,511.0,8,0,0.0,2022.0,1.0,25.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
524.21,7.9,1121.7,135.0,21,1,0.0,2023.0,3.0,12.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9556.61,427.68,2090.0,534.0,2,0,0.0,2021.0,10.0,14.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
3881.38,135.54,2370.2,399.0,12,2,0.0,2024.0,8.0,13.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3362.85,101.04,1203.8,108.0,4,2,0.0,2021.0,9.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9155.49,330.63,1956.5,363.0,7,0,1.0,2021.0,11.0,2.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3958.16,156.65,1734.7,610.0,6,2,1.0,2022.0,1.0,15.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2101.62,156.43,871.0,653.0,21,2,0.0,2021.0,5.0,31.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3181.47,65.04,1914.9,789.0,2,1,1.0,2021.0,5.0,11.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
5530.28,154.05,1729.1,137.0,3,2,0.0,2023.0,5.0,8.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2980.84,26.12,2120.2,689.0,16,0,1.0,2023.0,5.0,16.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
8555.22,406.42,1248.1,735.0,9,0,1.0,2021.0,6.0,25.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3487.49,171.96,1942.8,576.0,7,2,0.0,2023.0,8.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4142.98,113.75,937.0,370.0,16,0,1.0,2024.0,8.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8447.76,288.47,1739.8,220.0,25,2,0.0,2022.0,7.0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
7465.89,558.29,1204.3,141.0,5,0,1.0,2023.0,1.0,31.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6883.71,15.47,1187.2,431.0,14,0,1.0,2022.0,4.0,18.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
4400.91,51.55,1076.5,159.0,13,0,1.0,2024.0,2.0,22.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9656.38,218.49,1119.6,747.0,14,2,0.0,2021.0,9.0,22.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3153.41,86.42,2247.6,547.0,22,1,0.0,2023.0,7.0,16.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3278.87,218.16,2404.9,469.0,2,2,0.0,2021.0,3.0,7.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4641.12,186.71,1102.9,116.0,1,2,0.0,2021.0,11.0,29.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2927.23,126.26,1763.9,378.0,12,0,1.0,2023.0,9.0,27.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8103.12,72.05,1417.3,257.0,20,0,1.0,2024.0,8.0,18.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2700.65,124.56,1969.9,568.0,4,2,1.0,2023.0,7.0,24.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8610.77,681.5,2267.6,323.0,22,0,0.0,2021.0,3.0,18.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3840.53,1.08,1381.9,686.0,3,1,0.0,2024.0,5.0,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
280.47,7.29,1321.3,417.0,13,1,0.0,2023.0,7.0,26.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
